source,product_name,price,description
Test Site,Packard 255 G2,416.99,"15.6"", AMD E2-3800 1.3GHz, 4GB, 500GB, Windows 8.1"
Test Site,Aspire E1-510,306.99,"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux"
Test Site,ThinkPad T540p,1178.99,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit"
Test Site,ProBook,739.99,"14"", Core i5 2.6GHz, 4GB, 500GB, Win7 Pro 64bit"
Test Site,ThinkPad X240,1311.99,"12.5"", Core i5-4300U, 8GB, 240GB SSD, Win7 Pro 64bit"
Test Site,Aspire E1-572G,581.99,"15.6"", Core i5-4200U, 8GB, 1TB, Radeon R7 M265, Windows 8.1"
Google Shopping,HP Business Student Laptop Computer,359.88,
Google Shopping,"Lenovo IdeaPad Slim 3 15.6"" Laptop Ryzen 8GB RAM SSD",299.0,
Google Shopping,"HP 14"" Intel Celeron Laptop",199.99,
Google Shopping,"Core Innovations 15.6"" Laptop",197.99,
Google Shopping,"Microsoft 12.4"" Surface Laptop Go 3",649.5,
Google Shopping,HP 15.6 inch HD Windows Laptop,219.0,
Google Shopping,Dell Inspiron 3530 15.6 inch FHD Laptop Intel Core,379.99,
Google Shopping,"MALLRACE 15.6"" FHD Laptop",489.99,
Google Shopping,"HP 17.3"" FHD Laptop",329.99,
Google Shopping,Hp Laptop AMD,309.99,
Google Shopping,Microsoft Surface Laptop Go,599.99,
Google Shopping,HP 15.6 inch FHD IPS Windows Laptop,309.0,
Google Shopping,"HP Chromebook 14"" HD Laptop Student Intel N4120",139.0,
Google Shopping,HP 2025 New Student Business Laptop,359.99,
Google Shopping,Microsoft Surface Laptop 6 Intel Core Ultra,1394.99,
Google Shopping,"HP Pavilion x360 14"" Touchscreen Laptop",329.0,
Google Shopping,Lenovo IdeaPad Slim 3,249.99,
Google Shopping,Windows Laptop 2 in 1 with Touchscreen,249.88,
Google Shopping,"HP 15.6"" FHD Laptop",449.99,
Google Shopping,HP 17t-cn300 Home/Business Laptop,369.99,
Google Shopping,Sgin 15.6 inch Celeron N4000 Laptop,189.99,
Google Shopping,"HP 15.6"" HD Laptop",349.99,
Google Shopping,Hp 15.6 inch Windows Laptop Intel Core i3-N305 8GB RAM 256gb SSD Lilac Lavender,299.0,
Google Shopping,KAIGERR 2025 Laptop Computer with Intel Twin Lake N150 Processor,359.99,
Google Shopping,"Microsoft 13.8"" Surface Laptop Copilot+ PC",1199.99,
Google Shopping,"HP 17.3"" HD+ Laptop",409.99,
Google Shopping,"HP 14"" AMD 3020e Laptop",199.49,
Google Shopping,Asus Vivobook Go Laptop FHD AMD Ryzen 5 7520U,219.0,
Google Shopping,Apple 15-inch MacBook Air M4,1599.0,
Google Shopping,Hp 14 Inch Business Student Laptop Computer Intel N150 Processor,359.99,
Google Shopping,"Lenovo IdeaPad 15.6"" Laptop Intel",199.99,
Google Shopping,"HP 15.6"" Touchscreen Laptop",799.99,
Google Shopping,"HP 14"" HD Laptop Back to School Limited Edition",299.0,
Google Shopping,HP Intel RAM,439.0,
Google Shopping,"HP 14"" Intel Processor N150 Laptop",219.99,
Google Shopping,Gaming Laptop,269.99,
Google Shopping,Microsoft Surface Laptop 7,1572.49,
Google Shopping,Dell Inspiron 5440 Laptop Fhd+ Intel Core,369.0,
Google Shopping,"Laptop with Office 365, 4GB RAM, 128GB Storage, Expandable 1TB, 5205u",209.99,
Google Shopping,Microsoft Surface Laptop Copilot+ PC,1299.99,
